anio,residencia_muncipio_id ,residencia_muncipio_nombre,cantidad 
2021,06742,San Cayetano,1
2021,06749,San Fernando,12
2021,06756,San Isidro,15
2021,06760,San Miguel,28
2021,06763,San Nicolás,2
2021,06770,San Pedro,3
2021,06778,San Vicente,7
2021,06784,Suipacha,1
2021,06791,Tandil,8
2021,06805,Tigre,29
2021,06819,Tornquist,1
2021,06826,Trenque Lauquen,3
2021,06833,Tres Arroyos,3
2021,06840,Tres de Febrero,19
2021,06854,25 de Mayo,2
2021,06861,Vicente López,9
2021,06868,Villa Gesell,1
2021,06875,Villarino,1
2021,06882,Zárate,5
2021,06999,Ignorado,41
2022,06007,Adolfo Alsina,3
2022,06021,Alberti,12
2022,06028,Almirante Brown,46
2022,06035,Avellaneda,25
2022,06042,Ayacucho,2
2022,06049,Azul,1
2022,06056,Bahía Blanca,18
2022,06063,Balcarce,1
2022,06077,Arrecifes,1
2022,06091,Berazategui,23
2022,06098,Berisso,9
2022,06105,Bolívar,1
2022,06112,Bragado,6
2022,06119,Brandsen,1
2022,06126,Campana,10
2022,06134,Cañuelas,1
2022,06140,Capitán Sarmiento,2
2022,06161,Carmen de Areco,1
2022,06175,Colón,2
2022,06182,Coronel de Marina Leonardo Rosales,2
2022,06196,Coronel Pringles,1
2022,06203,Coronel Suárez,1
2022,06210,Chacabuco,2
2022,06218,Chascomús,2
2022,06224,Chivilcoy,1
2022,06245,Ensenada,5
2022,06252,Escobar,19
2022,06260,Esteban Echeverría,29
2022,06270,Ezeiza,10
2022,06274,Florencio Varela,59
2022,06277,Florentino Ameghino,1
2022,06280,General Alvarado,1
2022,06294,General Arenales,1
2022,06301,General Belgrano,5
2022,06315,General Juan Madariaga,1
2022,06329,General Las Heras,2
2022,06357,General Pueyrredón,43
2022,06364,General Rodríguez,13
2022,06371,General San Martín,16
2022,06399,Guaminí,1
2022,06406,Hipólito Yrigoyen,7
2022,06408,Hurlingham,15
2022,06410,Ituzaingó,5
2022,06412,José C. Paz,24
2022,06413,Junín,5
2022,06420,La Costa,7
2022,06427,La Matanza,93
2022,06434,Lanús,20
2022,06441,La Plata,53
2022,06455,Las Flores,2
2022,06462,Leandro N. Alem,1
2022,06469,Lincoln,2
2022,06483,Lobos,2
2022,06490,Lomas de Zamora,89
2022,06497,Luján,9
2022,06505,Magdalena,3
2022,06511,Maipú,1
2022,06515,Malvinas Argentinas,26
2022,06518,Mar Chiquita,1
2022,06525,Marcos Paz,8
2022,06532,Mercedes,3
2022,06539,Merlo,53
2022,06547,Monte,1
2022,06553,Monte Hermoso,1
2022,06560,Moreno,43
2022,06568,Morón,10
2022,06581,Necochea,2
2022,06602,Patagones,1
2022,06623,Pergamino,3
2022,06638,Pilar,29
2022,06644,Pinamar,1
2022,06648,Presidente Perón,10
2022,06655,Punta Indio,2
2022,06658,Quilmes,53
2022,06665,Ramallo,4
2022,06672,Rauch,1
2022,06700,Saavedra,1
2022,06707,Saladillo,5
2022,06714,Salto,1
2022,06749,San Fernando,16
2022,06756,San Isidro,14
2022,06760,San Miguel,22
2022,06763,San Nicolás,2
2022,06770,San Pedro,4
2022,06778,San Vicente,11
2022,06784,Suipacha,1
2022,06791,Tandil,3
2022,06805,Tigre,32
2022,06826,Trenque Lauquen,5
2022,06833,Tres Arroyos,3
2022,06840,Tres de Febrero,15
2022,06854,25 de Mayo,3
2022,06861,Vicente López,6
2022,06868,Villa Gesell,1
2022,06875,Villarino,5
2022,06882,Zárate,5
2022,06999,Ignorado,237
